% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
13563	5	1	1	0	28	9422	0	1	0
13573	5	1	1	0	28	9422	0	1	0
13613	5	1	1	0	26	7708	0	1	0
13623	5	1	1	0	28	9422	0	1	0
13630	5	1	1	0	28	9422	1	0	0
13663	4	1	1	0	26	7708	0	1	0
13673	4	1	1	0	28	9422	0	1	0
13713	4	1	1	0	28	9422	0	1	0
13720	4	1	1	0	28	9422	1	0	0
13723	4	1	1	0	28	9422	0	1	0
13763	4	1	1	0	28	9422	0	1	0
13770	4	1	1	0	28	9422	1	0	0
13773	4	1	1	0	28	9422	0	1	0
13813	4	1	1	0	28	9422	0	1	0
13823	4	1	1	0	28	9422	0	1	0
13863	4	1	1	0	28	9422	0	1	0
13873	4	1	1	0	24	6882	0	1	0
13913	4	1	1	0	28	9422	0	1	0
13923	4	1	1	0	28	9422	0	1	0
13963	4	1	1	0	28	9422	0	1	0
13973	4	1	1	0	28	9422	0	1	0
14013	4	1	1	0	28	9422	0	1	0
14023	4	1	1	0	28	9422	0	1	0
14063	4	1	1	0	28	9422	0	1	0
14073	4	1	1	0	28	9422	0	1	0
14113	4	1	1	0	28	9422	0	1	0
14123	4	1	1	0	24	6882	0	1	0
14163	4	1	1	0	28	9422	0	1	0
14173	4	1	1	0	26	7708	0	1	0
14213	4	1	1	0	28	9422	0	1	0
14223	4	1	1	0	28	9422	0	1	0
14263	4	1	1	0	28	9422	0	1	0
14273	4	1	1	0	28	9422	0	1	0
14280	4	1	1	0	28	9422	1	0	0
14313	4	1	1	0	28	9422	0	1	0
14323	4	1	1	0	28	9422	0	1	0
14330	4	1	1	0	28	9422	1	0	0
14363	4	1	1	0	28	9422	0	1	0
14373	4	1	1	0	28	9422	0	1	0
14413	4	1	1	0	28	9422	0	1	0
14423	4	1	1	0	28	9422	0	1	0
14463	4	1	1	0	28	9422	0	1	0
14473	4	1	1	0	28	9422	0	1	0
14513	4	1	1	0	28	9422	0	1	0
14520	4	1	1	0	28	9422	1	0	0
14523	4	1	1	0	28	9422	0	1	0
14563	4	1	1	0	28	9422	0	1	0
14573	4	1	1	0	24	6882	0	1	0
14613	4	1	1	0	28	9422	0	1	0
14623	4	1	1	0	28	9422	0	1	0
14663	4	1	1	0	28	9422	0	1	0
14670	4	1	1	0	28	9422	1	0	0
14673	4	1	1	0	28	9422	0	1	0
14680	4	1	1	0	28	9422	1	0	0
14713	4	1	1	0	24	6882	0	1	0
14723	4	1	1	0	28	9422	0	1	0
14763	4	1	1	0	28	9422	0	1	0
14773	4	1	1	0	28	9422	0	1	0
14813	4	1	1	0	28	9422	0	1	0
14823	4	1	1	0	28	9422	0	1	0
14863	4	1	1	0	28	9422	0	1	0
14873	4	1	1	0	28	9422	0	1	0
14880	4	1	1	0	28	9422	1	0	0
14913	4	1	1	0	28	9422	0	1	0
14923	4	1	1	0	28	9422	0	1	0
14930	4	1	1	0	28	9422	1	0	0
14963	4	1	1	0	28	9422	0	1	0
14970	4	1	1	0	28	9422	1	0	0
14973	4	1	1	0	28	9422	0	1	0
15013	4	1	1	0	26	7708	0	1	0
15023	4	1	1	0	28	9422	0	1	0
15063	4	1	1	0	28	9422	0	1	0
15073	4	1	1	0	28	9422	0	1	0
15113	4	1	1	0	28	9422	0	1	0
15123	4	1	1	0	28	9422	0	1	0
15163	4	1	1	0	24	6882	0	1	0
15173	4	1	1	0	26	7708	0	1	0
15213	4	1	1	0	28	9422	0	1	0
15223	4	1	1	0	28	9422	0	1	0
15263	4	1	1	0	24	6882	0	1	0
15273	4	1	1	0	28	9422	0	1	0
15313	4	1	1	0	28	9422	0	1	0
15323	4	1	1	0	28	9422	0	1	0
15363	4	1	1	0	28	9422	0	1	0
15373	4	1	1	0	28	9422	0	1	0
15413	4	1	1	0	28	9422	0	1	0
15423	4	1	1	0	28	9422	0	1	0
15463	4	1	1	0	28	9422	0	1	0
15473	4	1	1	0	22	5861	0	1	0
15513	4	1	1	0	28	9422	0	1	0
15523	4	1	1	0	28	9422	0	1	0
15563	4	1	1	0	24	6882	0	1	0
15573	4	1	1	0	28	9422	0	1	0
15580	4	1	1	0	28	9422	1	0	0
15613	4	1	1	0	24	6882	0	1	0
15623	4	1	1	0	28	9422	0	1	0
15630	4	1	1	0	28	9422	1	0	0
15663	4	1	1	0	28	9422	0	1	0
15673	4	1	1	0	24	6882	0	1	0
15713	4	1	1	0	28	9422	0	1	0
15723	4	1	1	0	28	9422	0	1	0
15763	4	1	1	0	28	9422	0	1	0
15773	4	1	1	0	28	9422	0	1	0
15813	4	1	1	0	28	9422	0	1	0
15823	4	1	1	0	28	9422	0	1	0
15863	4	1	1	0	28	9422	0	1	0
15873	4	1	1	0	28	9422	0	1	0
15913	4	1	1	0	28	9422	0	1	0
15923	4	1	1	0	28	9422	0	1	0
15963	4	1	1	0	26	7708	0	1	0
15973	4	1	1	0	26	7708	0	1	0
16013	4	1	1	0	28	9422	0	1	0
16020	4	1	1	0	28	9422	1	0	0
16023	4	1	1	0	26	7708	0	1	0
16063	4	1	1	0	28	9422	0	1	0
16073	4	1	1	0	28	9422	0	1	0
16113	4	1	1	0	28	9422	0	1	0
16123	4	1	1	0	28	9422	0	1	0
16163	4	1	1	0	28	9422	0	1	0
16173	4	1	1	0	28	9422	0	1	0
